,year,title,ratings,madeit,reviews,photos,submitter_description,ingredients,readyin,servings,nutrition,calories,fat,carbohydrate,protein,carbohydrates,instructions
850,,Crispy Honey Sriracha Chicken Wings,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2361845.jpg,,"['2 tablespoons baking powder', '1 tablespoon kosher salt', '1 teaspoon freshly ground black pepper', '1 teaspoon smoked paprika', '2 ½ pounds chicken wing sections', '⅓ cup honey', '⅓ cup sriracha sauce', '1 tablespoon seasoned rice vinegar', '¼ teaspoon sesame oil', '1 pinch sesame seeds, or as desired']",0,4 servings,"          314.8 calories;           19.3 g protein;           28.7 g carbohydrates;           59.4 mg cholesterol;           3151.9 mg sodium.        Full Nutrition
",,,,,,"Preheat oven to 425 degrees F (220 degrees C). Line a baking sheet with aluminum foil and place an oven-proof wire rack over the foil.

Whisk baking powder, salt, black pepper, and paprika together in a small bowl. Place chicken wings in a large bowl. Sprinkle 1/2 of the baking powder mixture over wings and toss to coat. Sprinkle remaining baking powder mixture over wings and toss to coat again. Place wings onto the rack of the prepared baking sheet.

Bake in the preheated oven for 20 minutes. Turn wings and continue baking for 20 minutes. Turn wings again and bake until wings are browned and crispy, about 15 minutes more. Transfer wings to a large bowl.

Whisk honey, sriracha sauce, rice vinegar, and sesame oil together in a bowl until glaze is smooth. Drizzle glaze over wings and toss to coat completely. Transfer wings to a serving platter and sprinkle sesame seeds over the top.
"
851,,Lela's Fourth of July Potato Salad,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1394509.jpg,,"['10 pounds potatoes, peeled', '2 (6 ounce) cans black olives, diced', '2 (6 ounce) jars green olives, diced', '1 cup dill pickle chips, diced', '1 cup sweet onion (such as Vidalia®), finely chopped', '16 hard-cooked eggs, chopped', '¼ cup prepared yellow mustard', '7 cups Hellmann’s® or Best Foods® Canola Cholesterol Free Mayonnaise']",0,30 servings,"          356.4 calories;           6.8 g protein;           28.4 g carbohydrates;           113.1 mg cholesterol;           839.4 mg sodium.        Full Nutrition
",,,,,,"Place potatoes into a large pot and cover with salted water; bring to a boil. (You may need two pots.) Reduce heat to medium-low and simmer until fork-tender, about 1 to 1 1/2 hours. Start checking for doneness after 1 hour. Drain and rinse the potatoes with cold running water.

Place black olives, green olives, pickle chips, onion, and hard-cooked eggs into a large heavy-duty disposable foil pan. When the potatoes are cool, chop them into small pieces and gently mix them with the olive-egg mixture.

Combine mayonnaise and yellow mustard together. Add the dressing to the salad ingredients and mix well. Chill for at least 2 hours before serving.
"
852,,Veggie Pasta Salad,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F888278.jpg,,"['1 (8 ounce) package pasta spirals', '¼ cup diced sweet onion', '1 green bell pepper, seeded and minced', '½ fresh hot chile pepper, seeded and minced', '2 eaches tomatoes, seeded and chopped', '1 cucumber, seeded and chopped', '¼ cup olive oil', '¼ cup tomato sauce', '¼ cup lime juice', '3 tablespoons red wine vinegar', '1 teaspoon garlic powder', '1 teaspoon salt', '1 pinch ground black pepper to taste']",0,8 servings,"          189.9 calories;           4.7 g protein;           27.1 g carbohydrates;           0 mg cholesterol;           336.3 mg sodium.        Full Nutrition
",,,,,,"Bring a large pot of lightly salted water to a boil; cook the pasta spirals at a boil until tender yet firm to the bite, about 8 minutes; drain. Rinse pasta with cold water until cool; drain.

Toss drained pasta, sweet onion, green bell pepper, chile pepper, tomatoes, and cucumber together in a large bowl.

Whisk olive oil, tomato sauce, lime juice, red wine vinegar, garlic powder, salt, and black pepper together in a separate bowl; drizzle over the pasta mixture and stir to coat.

Chill in refrigerator 2 hours; stir to serve.
"
853,,Nacho Daughter-In-Law's Cheesy Breakfast Burrito,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5770616.jpg,,"['1 tablespoon butter', ""1 cup frozen southwest-style O'Brien potatoes with onions and peppers"", '12 eggs, beaten', '1 cup shredded Cheddar cheese', '1 cup shredded pepperjack cheese', '1 cup picante sauce', '1 cup crushed nacho cheese tortilla chips (such as Doritos®)', '12 (10 inch) flour tortillas']",0,6 burritos,"          798.7 calories;           33.5 g protein;           84 g carbohydrates;           375.8 mg cholesterol;           1548.7 mg sodium.        Full Nutrition
",,,,,,"Combine butter and potatoes in a large nonstick skillet over medium-high heat. Cook until potatoes are slightly browned on the edges, 5 to 7 minutes.

Add eggs to the skillet with the potatoes and cook until set, 5 to 7 minutes more. Add Cheddar cheese, pepper jack cheese, and picante sauce. Mix with potatoes and eggs until thoroughly incorporated. Add crushed chips to the skillet and stir until well mixed.

Divide egg mixture evenly among tortillas and roll up burrito-style.
"
854,,Air Fryer Fried Okra,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6925661.jpg,,"['1 large egg', '½ pound okra pods, cut into 1/2-inch slices', '1 cup cornmeal', '¼ cup all-purpose flour', '1 serving cooking spray', '1 pinch salt to taste']",0,4 servings,"          191.2 calories;           6 g protein;           37.4 g carbohydrates;           46.5 mg cholesterol;           64.3 mg sodium.        Full Nutrition
",,,,,,"Place egg in a shallow dish and beat; gently stir in sliced okra.

Combine cornmeal and flour in a gallon-size resealable plastic bag. Drop 5 slices of okra in the cornmeal mixture, zip the bag, and shake. Remove breaded okra to a plate. Repeat with remaining okra slices.

Preheat air fryer to 400 degrees F (200 degrees C). Place 1/2 the breaded okra slices in the basket of the air fryer and spray with cooking spray. Cook 4 minutes. Shake the basket and mist okra with cooking spray again. Cook an additional 4 minutes. Shake the basket one last time and cook for 2 minutes. Remove the okra from the basket and salt to taste.

Repeat with remaining okra slices.
"
855,,Deep-Dish Cast Iron Pizza,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1317324.jpg,,"['2 ¼ teaspoons active dry yeast', '½ teaspoon brown sugar', '1 ¼ cups warm water (110 degrees F (43 degrees C))', '2 cups all-purpose flour', '2 teaspoons garlic salt', '¼ cup butter', '2 cups all-purpose flour', '1 tablespoon grapeseed oil', '1 serving cooking spray', '⅓ cup bulk pork sausage', '1 (3.5 ounce) link bulk Italian sausage', '2 tablespoons grapeseed oil', '½ cup pizza sauce', '⅓ cup shredded mozzarella cheese', '24 slices pepperoni', '⅓ cup shredded mozzarella cheese', '1 tablespoon butter, softened', '⅛ teaspoon Italian seasoning', '⅛ teaspoon garlic powder']",0,1 12-inch pizza,"          615.9 calories;           17.4 g protein;           67.2 g carbohydrates;           57.7 mg cholesterol;           1148.6 mg sodium.        Full Nutrition
",,,,,,"Sprinkle yeast and brown sugar over warm water in the bowl of a stand mixer fitted with a dough hook. Let stand 5 to 10 minutes until the yeast softens and begins to form a creamy foam.

Turn mixer to the lowest setting and slowly add 2 cups flour 1/2 cup at a time. Add garlic salt and 1/4 cup butter. Integrate remaining 2 cups flour and knead until dough is smooth and elastic, 5 to 7 minutes.

Coat a large glass bowl with 1 tablespoon grapeseed oil. Shape dough into a ball and place in bowl, turning to coat all sides with oil. Spray a piece of plastic wrap with cooking spray and loosely cover bowl. Cover bowl with a towel and let rise in a warm area until dough has doubled in size, about 45 minutes. Punch down dough and allow to rest for 20 minutes.

While dough is resting, heat a skillet over medium heat; cook and stir bulk sausage until browned and crumbly, about 5 minutes. Transfer cooked sausage to a bowl with a slotted spoon, retaining drippings in the skillet. Fry Italian sausage link in drippings until browned and no longer pink in the center, about 10 minutes. Slice sausage.

Preheat oven to 400 degrees F (200 degrees C). Grease a 12-inch cast iron skillet with 2 tablespoons grapeseed oil.

Press dough into and up the sides of the prepared skillet. Poke holes in dough with a fork to prevent air bubbles. Spread pizza sauce around the base of the crust. Sprinkle 1/3 cup mozzarella cheese over sauce; layer half the bulk sausage, half the sliced sausage, and half the pepperoni over cheese. Repeat the layers of meat. Top with remaining 1/3 cup mozzarella cheese.

Bake in preheated oven on the bottom rack until crust is golden brown, about 25 minutes. Brush crust with 1 tablespoon butter; season with Italian seasoning and garlic powder. Remove pizza from skillet and let rest for 3 to 5 minutes before slicing.
"
856,,Turkey Meatloaf Burgers,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5333147.jpg,,"['2 pounds ground turkey', '1 ⅓ cups seasoned bread crumbs', '1 small onion - grated, and juice drained', '2 eggs', '3 tablespoons applesauce', '2 teaspoons chili powder', '1 teaspoon paprika', '1 teaspoon kosher salt', '2 tablespoons olive oil', '8 hamburger buns, split']",0,8 burgers,"          422.9 calories;           30.8 g protein;           37.4 g carbohydrates;           130.5 mg cholesterol;           921.5 mg sodium.        Full Nutrition
",,,,,,"Preheat oven to 375 degrees F (190 degrees C).

Mix the turkey, bread crumbs, onion, eggs, applesauce, chili powder, paprika, and kosher salt in a large bowl until thoroughly combined. Divide mixture into 8 equal portions, then shape into patties.

Heat olive oil in a large skillet over medium-high heat. Arrange the patties in the skillet and cook until browned, 3 to 5 minutes on each side. Place the browned patties on a paper towel-lined plate to drain. Transfer the patties to a 9x13-inch baking dish.

Bake the turkey burgers in the preheated oven until no longer pink in the center and the juices run clear, about 10 minutes more. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Serve the turkey burgers on the hamburger buns.
"
857,,Chocolate Peanut Butter Iced Coffee,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3858794.jpg,,"['1 cup brewed coffee', '½ cup soy milk', '2 tablespoons chocolate syrup', '1 tablespoon peanut butter', '1 teaspoon vanilla extract', '1 packet granular no-calorie sucralose sweetener (such as Splenda®)']",0,1 drink,"          284.3 calories;           9.1 g protein;           36.7 g carbohydrates;           0 mg cholesterol;           168.8 mg sodium.        Full Nutrition
",,,,,,"Pour coffee into an ice cube tray; freeze until coffee ice cubes form, 1 to 2 hours.

Combine coffee ice cubes, soy milk, chocolate syrup, peanut butter, vanilla extract, and no-calorie sweetener in a blender. Cover and blend until frothy.
"
858,,Sherry Braised Beef Short Ribs,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6661471.jpg,,"['4 slices bacon, cut into 1/2-inch pieces', '3 ½ pounds beef short ribs', 'salt and ground black pepper to taste', '6 sprigs fresh thyme, leaves stripped', '1 bay leaf', '1 onion, diced', '3 cloves garlic, minced', '2 tablespoons all-purpose flour', '1 cup dry sherry', '1 quart beef broth']",175,None,"          490 calories;           38.6 g total fat;           86 mg cholesterol;           739 mg sodium.          9.3 g carbohydrates;           22.4 g protein;         Full Nutrition
",,,,,,"Preheat oven to 350 degrees F (175 degrees C).
Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Transfer crisped bacon with a slotted spoon to a Dutch oven. Retain bacon drippings in the skillet.
Generously season short ribs with salt and pepper.
Heat bacon drippings in the same skillet over high heat. Cook short ribs in hot bacon fat until browned and caramelized on all sides, 3 to 5 minutes per side. Transfer ribs to the Dutch oven, reserving drippings in the skillet. Add thyme and bay leaf to the ribs mixture.
Reduce heat under the same skillet to medium. Cook and stir onion in the skillet until soft and golden, 5 to 10 minutes. Add garlic; cook and stir until fragrant, about 30 seconds.
Whisk flour into onion mixture and stir until the mixture becomes paste-like and light golden brown, 1 to 3 minutes.
Pour sherry into onion mixture; cook until thick and hot, about 2 minutes. Pour onion-sherry mixture into Dutch oven; add beef broth and salt to taste. Bring ribs mixture to a simmer and cover the Dutch oven with a lid.
Transfer Dutch oven to the preheated oven and cook until short ribs are fork tender, about 2 hours. Remove ribs to a serving dish, reserving sauce in the pot.
Set Dutch oven high heat and boil sauce until reduced and slightly thickened, about 10 minutes. Spoon reduced sauce over ribs."
859,,Chocolate-Dipped Orange Shortbread Cookies,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6068014.jpg,,"['2 ½ cups all-purpose flour', '⅓ cup white sugar', '3 tablespoons orange zest, divided', '½ teaspoon ground cinnamon', '⅛ teaspoon ground nutmeg', '⅛ teaspoon ground cloves', '1 cup butter, softened', '2 tablespoons milk', '4 ounces milk chocolate, melted']",0,36 servings,"          101.7 calories;           1.2 g protein;           10.5 g carbohydrates;           14.3 mg cholesterol;           39.3 mg sodium.        Full Nutrition
",,,,,,"Combine flour, sugar, 2 tablespoons orange zest, cinnamon, nutmeg, and cloves in the bowl of a stand mixer fitted with the paddle attachment. Add butter and beat until mixture resembles crumbs and starts to stick together. Work until dough sticks together and forms a smooth ball that is not sticky, adding milk if mixture is too dry. Press into a disk shape and wrap in wax paper. Chill in the refrigerator for 30 minutes

Preheat the oven to 325 degrees F (165 degrees C). Line 2 baking sheets with parchment paper.

Lightly flour a clean countertop. Roll dough to 1/2-inch thickness. Cut into shapes with cookie cutters and place on the prepared baking sheets.

Bake cookies in the preheated oven until bottoms are lightly golden, 18 to 22 minutes. Transfer cookies to wire racks and cool completely, about 30 minutes.

Line the countertop with wax paper. Dip tops of cookies into the melted chocolate, allowing excess to drip back into the bowl. Place cookies on the wax paper and immediately sprinkle tops with remaining 1 tablespoon orange zest. Let dry.
"
860,,Chicken Zoodle Soup,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2333585.jpg,,"['2 tablespoons olive oil', '1 cup diced onions', '1 cup diced celery', '3 cloves garlic, minced', '5 (14.5 ounce) cans low-sodium chicken broth', '1 cup sliced carrots', '¾ pound cooked chicken breast, cut into bite sized pieces', '½ teaspoon dried basil', '½ teaspoon dried oregano', '1 pinch dried thyme', '1 pinch salt and ground black pepper to taste', ""3 eaches zucchini squash, cut into 'noodles' using a spiral slicer or vegetable peeler""]",0,12 cups,"          207.6 calories;           21.6 g protein;           8.9 g carbohydrates;           48.2 mg cholesterol;           257.5 mg sodium.        Full Nutrition
",,,,,,"Heat olive oil in a large pot over medium-high heat. Saute onion, celery, and garlic in hot oil until just tender, about 5 minutes.

Pour chicken broth into the pot; add carrots, chicken, basil, oregano, thyme, salt, and pepper. Bring the broth to a boil, reduce heat to medium-low, and simmer mixture until the vegetables are tender, about 20 minutes.

Divide zucchini 'noodles' between six soup bowls; ladle broth mixture over the 'noodles.'
"
861,,Instant Pot® Simple Steamed Crab Legs,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5886468.jpg,,"['1 ½ cups water', '2 pounds frozen king crab legs', '2 tablespoons juice of one lemon', '⅓ cup butter, melted']",0,4 servings,"          199.4 calories;           12.7 g protein;           1.2 g carbohydrates;           83.4 mg cholesterol;           324.3 mg sodium.        Full Nutrition
",,,,,,"Place a trivet in the multi-functional pressure cooker (such as Instant Pot&reg;) and add water. Place crab legs on top of the trivet; you may need to let them thaw for a few minutes so they will fit.

Close and lock the lid. Select high pressure according to manufacturer's instructions; set timer for 3 minutes. Allow 10 minutes for pressure to build.

Release pressure carefully using the quick-release method according to manufacturer's instructions, about 5 minutes. Unlock and remove the lid. Using tongs, transfer crab legs to a serving dish. Squeeze lemon juice on top and serve with melted butter.
"
862,,Lisa's Banana Butter Frosting,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F964429.jpg,,"['1 cup mashed banana', '1 teaspoon lemon juice', '¼ teaspoon salt', '½ cup unsalted butter, softened', '7 cups powdered sugar']",5,4 cups,"          138 calories;           2.9 g total fat;           8 mg cholesterol;           19 mg sodium.          28.9 g carbohydrates;           0.1 g protein;         Full Nutrition
",,,,,,"Beat mashed banana, lemon juice, and salt in a large bowl with an electric mixer on medium speed for 30 seconds. Beat in softened butter until creamy, about 1 minute. Slowly beat in powdered sugar, 1 cup at a time, until smooth."
863,,Agua Fresca de Pepino (Cucumber Limeade),,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3392023.jpg,,"['5 cups water, or to taste', '3 eaches cucumbers, peeled and chopped', '½ cup freshly squeezed lime juice', '¼ cup granular sucralose sweetener (such as Splenda®), or to taste']",0,6 cups,"          5.1 calories;           0.1 g protein;           1.7 g carbohydrates;           0 mg cholesterol;           6.3 mg sodium.        Full Nutrition
",,,,,,"Blend 2 cups water, cucumbers, lime juice, and 2 tablespoons sweetener together in a blender until smooth. Pour into pitcher; add remaining water. Stir in additional sweetener to taste.
"
864,,Ultimate Lemon Bars,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3644364.jpg,,"['¾ cup all-purpose flour', '¼ cup cornstarch', '¼ cup powdered sugar', '¼ cup white sugar', '6 tablespoons LAND O LAKES® Butter', '¾ cup white sugar', '3 eggs', '2 tablespoons cornstarch', '½ teaspoon baking powder', '7 tablespoons lemon juice', '1 ½ tablespoons lemon zest', 'Powdered sugar for dusting (optional)']",48,24 bars,"          95 calories;           3.5 g total fat;           31 mg cholesterol;           49 mg sodium.          15.1 g carbohydrates;           1.2 g protein;         Full Nutrition
",,,,,,"Preheat oven to 350 degrees F (175 degrees C). Line a 7 x 11-inch baking pan with foil; spray with cooking spray.
Combine flour, 1/4 cup cornstarch, 1/4 cup powdered sugar, and white sugar in a bowl. Mix in the butter; and stir until well mixed and crumbly. Press mixture in bottom of prepared pan.
Bake in preheated oven until lightly golden, about 15 minutes.
Mix 3/4 cup white sugar, eggs, 2 tablespoons cornstarch, baking powder, lemon juice and lemon zest together in a mixing bowl using an electric mixer or wire whisk. Blend thoroughly.
Pour filling over hot crust. Return pan to oven and continue baking until filling is set, 18 to 20 minutes.
Cool completely before cutting into bars. Sprinkle with powdered sugar if desired."
865,,Baked Ziti IV,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F803370.jpg,,"['1 pound dry ziti pasta', '1 ½ tablespoons olive oil', '1 onion, sliced', '1 teaspoon minced fresh rosemary', '4 cloves garlic, chopped', '½ pound ground beef', '½ pound ground pork sausage', '1 ½ (26 ounce) jars spaghetti sauce', 'salt to taste', '1 (6 ounce) package provolone cheese, sliced', '¾ cup sour cream', '¾ cup cottage cheese', '1 (6 ounce) package mozzarella cheese, shredded', '2 tablespoons freshly grated Parmesan cheese']",0,12 servings,"          488.5 calories;           22.1 g protein;           43.8 g carbohydrates;           54.9 mg cholesterol;           801.4 mg sodium.        Full Nutrition
",,,,,,"Bring a large pot of lightly salted water to a boil. Cook pasta in boiling water for 8 to 10 minutes, or until al dente; drain.

Meanwhile, heat olive oil in large, heavy skillet over medium heat. Cook onion  in oil until tender. Stir in rosemary and garlic. Transfer to a small bowl.

Place ground beef and sausage in the skillet. Cook over medium-high heat until evenly brown. Stir in the onion mixture and the spaghetti sauce. Season with salt. Reduce heat to low, and simmer for 10 minutes.

Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13 inch baking dish. In the prepared dish, layer 1/2 of the cooked pasta, provolone cheese, sour cream, cottage cheese, and a little less than 1/2 of the meat mixture. Then layer the rest of the pasta, mozzarella cheese, remaining meat mixture, and Parmesan cheese.

Bake in the preheated oven for 20 to 30 minutes, or until heated through and cheeses are melted.
"
866,,Strawberry Fig Preserves,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1041623.jpg,,"['4 cups fresh figs, stems removed', '3 cups white sugar', '1 (3 ounce) package strawberry flavored Jell-O®', '5 eaches half-pint canning jars with lids and rings, or as needed']",0,5 half pints,"          77.9 calories;           0.3 g protein;           20 g carbohydrates;           0 mg cholesterol;           8.8 mg sodium.        Full Nutrition
",,,,,,"Mix figs and sugar together in a large saucepan, place over medium heat, and cook, stirring often, until sugar has dissolved. Mix in strawberry gelatin; bring the mixture to a boil and boil for 7 minutes. Mash preserves with a potato masher if desired.

Sterilize the jars and lids in boiling water for at least 5 minutes. Pack the fig preserves into the hot, sterilized jars, filling the jars to within 1/4 inch of the top. Run a knife or a thin spatula around the insides of the jars after they have been filled to remove any air bubbles. Wipe the rims of the jars with a moist paper towel to remove any food residue. Top with lids and screw on rings.

Place a rack in the bottom of a large stockpot and fill halfway with water. Bring to a boil and lower jars into the boiling water using a holder. Leave a 2-inch space between the jars. Pour in more boiling water if necessary to bring the water level to at least 1 inch above the tops of the jars. Bring the water to a rolling boil, cover the pot, and process for 10 minutes.

Remove the jars from the stockpot and place onto a cloth-covered or wood surface, several inches apart, until cool. Once cool, press the top of each lid with a finger, ensuring that the seal is tight (lid does not move up or down at all). Store in a cool, dark area.
"
867,,Boozy Birdy,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F629241.jpg,,"['8 (.18 ounce) packets sazon seasoning with coriander and achiote (such as Goya®)', '1 tablespoon ground black pepper', '1 tablespoon garlic powder', '1 (12 fluid ounce) can or bottle Mexican beer (such as Corona®)', '10 bone-in chicken thighs with skin', '½ cup barbecue sauce']",0,5 servings,"          387.6 calories;           32.3 g protein;           13.6 g carbohydrates;           117 mg cholesterol;           1589.3 mg sodium.        Full Nutrition
",,,,,,"Place the sazon seasoning, black pepper and garlic powder into a large resealable plastic zipper bag, pour in the beer, and seal the bag. Smush the bag around with your fingers for a few seconds to mix the beer with the seasonings, and place the chicken thighs into the marinade. Reseal the bag, squeezing as much air out as possible, and refrigerate at least 6 hours or overnight.

Preheat an outdoor grill for medium-high heat, and lightly oil the grate.

Remove chicken from marinade, and reserve marinade. Grill chicken until no longer pink inside, the juices run clear, and the chicken has good grill marks, 5 to 8 minutes per side. An instant-read meat thermometer inserted into the thickest part of a thigh should read at least 160 degrees F (70 degrees C).

Pour the reserved marinade into a saucepan over medium-high heat, bring to a boil, and cook until the marinade is reduced by half, about 10 minutes. Mix in the barbecue sauce, and slather over chicken to serve.
"
868,,Blue Cheese Walnut Toasts,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F13196.jpg,,"['1 French baguette, cut into 1/3 inch thick slices', '¼ cup butter, melted', '4 ounces crumbled blue cheese', '¼ cup butter, softened', '1 pinch salt and pepper to taste', '½ cup chopped walnuts', '½ cup chopped fresh parsley']",0,20 servings,"          143.2 calories;           4.4 g protein;           13.4 g carbohydrates;           16.5 mg cholesterol;           260.2 mg sodium.        Full Nutrition
",,,,,,"Preheat the oven to 400 degrees F (200 degrees C). Brush one side of each slice of bread with melted butter, and place butter side up on a baking sheet. Bake for 7 minutes, or until lightly toasted.

In a small bowl, stir together the blue cheese, softened butter, salt and pepper. Spread this mixture over the tops of the toasted bread slices, then sprinkle with chopped walnuts.

Bake for 6 minutes in the preheated oven, or until the topping is melted and bubbly. Arrange on a serving tray and garnish with chopped parlsley.
"
869,,Instant Pot® Chicken Risotto,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7744707.jpg,,"['1 teaspoon dried oregano', '1 teaspoon dried thyme', '1 teaspoon paprika', '½ teaspoon salt', '¼ teaspoon freshly ground black pepper', '1 pound boneless, skinless chicken thighs, chopped', '3 tablespoons butter, divided', '1 tablespoon olive oil', '½ cup diced onion', '3 cloves garlic, minced', '2 cups Arborio rice', '½ cup dry white wine', '4 ½ cups chicken stock', '½ cup freshly grated Parmesan cheese', '1 pinch salt and ground black pepper to taste', '1 sprig fresh parsley, chopped']",0,6 servings,"          531.9 calories;           21.4 g protein;           65 g carbohydrates;           68.8 mg cholesterol;           924.1 mg sodium.        Full Nutrition
",,,,,,"Turn on a multi-functional pressure cooker (such as an Instant Pot&reg;), and select Saute function on normal setting according to manufacturer's instructions.

Mix oregano, thyme, paprika, salt, and pepper in a small bowl. Season chicken with spice blend.

Heat 1 tablespoon butter and olive oil in the pressure cooker until butter is melted. Quickly brown chicken on all sides, about 3 minutes. Remove chicken. Add onion and cook until translucent, about 2 minutes. Add garlic and cook until fragrant, about 30 seconds. Remove onion and garlic from the pot.

Melt a second tablespoon of butter in the pot, add rice, and stir constantly until fully coated and toasted, about 3 minutes. Pour in wine and scrape up any browned bits from the bottom with a wooden spoon. Cook until wine is absorbed and alcohol cooks off, about 2 minutes. Add chicken stock, chicken, and onion mixture to the pot; mix until well combined. Turn off Saute function.

Close and lock the lid. Select high pressure according to manufacturer's instructions, and set timer for 5 minutes.  Allow 10 to 15 minutes for pressure to build.

Release pressure carefully using the quick-release method according to manufacturer's instructions, about 5 minutes. Unlock and remove the lid. Stir Parmesan cheese and remaining tablespoon of butter into the risotto.  Season with salt and pepper, garnish with chopped parsley, and serve.
"
870,,Terri's Tourtiers (French-Canadian Santa Pies),,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1446783.jpg,,"['5 cups water', '5 pounds lean ground pork', '3 onions, chopped', '2 tablespoons salt', '2 ½ cups ground dry bread crumbs, or more as needed', '1 teaspoon ground allspice', '5 pastries for double-crust pies']",200,None,"          499 calories;           31.3 g total fat;           49 mg cholesterol;           882 mg sodium.          35 g carbohydrates;           18.4 g protein;         Full Nutrition
",,,,,,"Bring water to a boil in a large saucepan; crumble pork into the boiling water. Reduce heat and simmer until pork is no longer pink, 10 to 15 minutes. Drain water into a large bowl and transfer pork to a separate bowl; refrigerate pork. Refrigerate broth until fat separates from water, at least 1 hour.
Preheat oven to 350 degrees F (175 degrees C).
Place pork in a large skillet; add onions and salt. Cook and stir pork mixture over medium heat until onion is soft and translucent, 10 to 15 minutes.
Skim and discard the fat from the broth. Pour the remaining broth over the pork-onion mixture; stir in bread crumbs and allspice until well mixed. Add more bread crumbs if mixture is runny. Remove skillet from heat.
Press 5 pie crusts into five 9-inch pie dishes. Divide ground pork mixture among the 5 prepared pie crusts. Place 1 pie crust over each pie, crimping edges together to seal. Cut slits into the top crust of each pie for ventilation.
Bake in the preheated oven until pies are golden brown, about 1 hour."
871,,Aw-some Coleslaw,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3290806.jpg,,"['½ cup mayonnaise', '⅓ cup white sugar', '¼ cup milk', '2 ½ tablespoons lemon juice', '1 ½ tablespoons vinegar', '1 pinch salt and pepper to taste', '9 ½ cups shredded cabbage', '½ cup grated carrots', '¼ cup minced sweet onion']",0,12 servings,"          108.2 calories;           1.1 g protein;           10.3 g carbohydrates;           3.9 mg cholesterol;           80.5 mg sodium.        Full Nutrition
",,,,,,"Whisk together mayonnaise, sugar, milk, lemon juice, vinegar, and salt and pepper in a large bowl.

Toss the cabbage, carrots, and onion into the dressing; mix well.  Refrigerate for at least 3 hours or up to overnight before serving.
"
